"","DATE","WeatherStation","Date","Tmax","Tmin","RHMax","RHMin","ISODate","Year","Month","Day","JDay","Hour","Temp"
"1101",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 00:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,0,17.2
"3311",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 01:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,1,17.2
"6511",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 02:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,2,17.2
"97",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 03:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,3,17.2
"129",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 04:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,4,17.2
"161",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 05:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,5,17.7102663220631
"193",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 06:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,6,18.5115012356676
"225",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 07:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,7,19.2778938946813
"257",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 08:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,8,19.9890837783392
"289",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 09:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,9,20.6261769212262
"321",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 10:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,10,21.1722478635112
"353",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 11:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,11,21.612789304493
"385",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 12:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,12,21.9360975136475
"417",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 13:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,13,22.1335832600777
"449",2019-06-17 12:00:00,"CVNPHudson",2019-06-17 14:00:00,22.2,17.2,99,86,2019-06-17,2019,6,17,168,14,22.2
